id,state,cwa,name,lon,lat,poi_dist_mi,method,polygons,vertices
ARZ007,AR,LZK,"Sharp",-91.51467,36.12046,9.23,poi,1,126
ARZ008,AR,LZK,"Randolph",-91.01271,36.32648,11.79,poi,1,252
ARZ009,AR,MEG,"Clay",-90.28288,36.37569,8.3,poi,1,290
ARZ010,AR,TSA,"Washington",-94.20228,35.96161,14.22,poi,1,96
ARZ011,AR,TSA,"Madison",-93.71672,35.99883,12.78,poi,1,141
ARZ014,AR,LZK,"Stone",-92.24084,35.84873,9.36,poi,1,218
ARZ015,AR,LZK,"Izard",-91.87747,36.09836,10.89,poi,1,206
ARZ016,AR,LZK,"Independence",-91.57279,35.73624,12.3,poi,1,252
ARZ017,AR,LZK,"Lawrence",-91.18809,36.02078,9.04,poi,1,238
ARZ018,AR,MEG,"Greene",-90.55738,36.11404,10.26,poi,1,211
ARZ024,AR,LZK,"Cleburne",-92.02737,35.53398,11.97,poi,1,75
ARZ025,AR,LZK,"Jackson",-91.19433,35.56664,8.74,poi,1,237
ARZ026,AR,MEG,"Craighead",-90.62045,35.83437,8.99,poi,1,126
ARZ027,AR,MEG,"Poinsett",-90.54176,35.57376,9.11,poi,1,83
ARZ028,AR,MEG,"Mississippi",-90.09515,35.84145,10.76,poi,1,370
ARZ031,AR,LZK,"Conway",-92.67665,35.31469,9.98,poi,1,248
ARZ032,AR,LZK,"Faulkner",-92.3093,35.20451,10.96,poi,1,251
ARZ033,AR,LZK,"White",-91.66135,35.26369,12.63,poi,1,481
ARZ034,AR,LZK,"Woodruff",-91.21483,35.14564,9.73,poi,1,347
ARZ035,AR,MEG,"Cross",-90.77245,35.29661,10.27,poi,1,64
ARZ036,AR,MEG,"Crittenden",-90.33565,35.29539,9.48,poi,1,270
ARZ039,AR,LZK,"Perry",-92.98205,34.96789,7.44,poi,1,201
ARZ042,AR,LZK,"Garland",-93.18337,34.57391,12.41,poi,1,110
ARZ043,AR,LZK,"Saline",-92.60465,34.57605,8.4,poi,1,168
ARZ044,AR,LZK,"Pulaski",-92.26931,34.77038,10.75,poi,1,206
ARZ045,AR,LZK,"Lonoke",-91.88892,34.74204,10.74,poi,1,264
ARZ046,AR,LZK,"Prairie",-91.5346,34.78977,9.26,poi,1,312
ARZ047,AR,LZK,"Monroe",-91.22749,34.67282,8.35,poi,1,292
ARZ048,AR,MEG,"St. Francis",-90.84392,35.02787,8.36,poi,1,119
ARZ049,AR,MEG,"Lee",-90.79458,34.7742,9.08,poi,1,266
ARZ050,AR,SHV,"Sevier",-94.2647,34.04612,9.97,poi,1,432
ARZ051,AR,SHV,"Howard",-93.94999,34.04682,7.21,poi,1,248
ARZ052,AR,LZK,"Pike",-93.64575,34.13426,9.94,poi,1,298
ARZ053,AR,LZK,"Clark",-93.16257,34.01983,11.63,poi,1,555
ARZ054,AR,LZK,"Hot Spring",-92.83623,34.28887,9.32,poi,1,165
ARZ055,AR,LZK,"Grant",-92.41185,34.28947,11.05,poi,1,142
ARZ056,AR,LZK,"Jefferson",-91.95709,34.29102,13.64,poi,1,241
ARZ057,AR,LZK,"Arkansas",-91.32253,34.28151,12.62,poi,1,600
ARZ058,AR,MEG,"Phillips",-90.8315,34.4969,9.88,poi,1,390
ARZ059,AR,SHV,"Little River",-94.31632,33.70094,8.34,poi,1,698
ARZ060,AR,SHV,"Hempstead",-93.66031,33.69323,10.55,poi,1,356
ARZ061,AR,SHV,"Nevada",-93.29414,33.59883,10.55,poi,1,232
ARZ062,AR,LZK,"Dallas",-92.6847,33.97702,11.9,poi,1,283
ARZ063,AR,LZK,"Cleveland",-92.1678,33.90385,10.93,poi,1,140
ARZ064,AR,LZK,"Lincoln",-91.79459,33.93138,9.63,poi,1,141
ARZ065,AR,LZK,"Desha",-91.29714,33.8229,9.31,poi,1,530
ARZ066,AR,LZK,"Ouachita",-92.92685,33.63545,10.49,poi,2,444
ARZ067,AR,LZK,"Calhoun",-92.51313,33.54803,10.98,poi,1,511
ARZ068,AR,LZK,"Bradley",-92.16975,33.39101,9.86,poi,1,460
ARZ069,AR,LZK,"Drew",-91.69253,33.59219,13.76,poi,1,113
ARZ070,AR,SHV,"Miller",-93.87556,33.34264,9.51,poi,1,432
ARZ071,AR,SHV,"Lafayette",-93.61523,33.12592,7.27,poi,1,290
ARZ072,AR,SHV,"Columbia",-93.21451,33.20826,13.1,poi,1,124
ARZ073,AR,SHV,"Union",-92.76579,33.19515,12.38,poi,1,446
ARZ074,AR,JAN,"Ashley",-91.7754,33.20048,13.35,poi,1,266
ARZ075,AR,JAN,"Chicot",-91.29443,33.24649,9.56,poi,1,350
ARZ103,AR,LZK,"Boone County Except Southwest",-93.07415,36.34844,10.35,poi,1,84
ARZ112,AR,LZK,"Newton County Higher Elevations",-93.30776,35.87646,10.07,poi,1,90
ARZ113,AR,LZK,"Searcy County Lower Elevations",-92.73538,35.97062,4.41,poi,1,68
ARZ119,AR,TSA,"Northern Crawford",-94.3685,35.66936,6.06,poi,1,56
ARZ120,AR,TSA,"Northern Franklin",-93.79791,35.69301,5.34,poi,1,47
ARZ121,AR,LZK,"Southern Johnson County",-93.59769,35.48244,6.07,poi,1,163
ARZ122,AR,LZK,"Southern Pope County",-93.02935,35.33776,9.88,poi,1,158
ARZ123,AR,LZK,"Southeast Van Buren County",-92.3768,35.51825,7.2,poi,1,70
ARZ129,AR,TSA,"North and Central Sebastian",-94.2769,35.23557,8.05,poi,1,174
ARZ130,AR,LZK,"Western and Northern Logan County",-93.84087,35.20144,4.86,poi,1,217
ARZ137,AR,LZK,"Northern Scott County",-94.1571,34.99983,4,poi,1,118
ARZ138,AR,LZK,"Northwest Yell County",-93.60953,35.07134,5.26,poi,1,62
